,model_name,val_loss,AUC,hamming_loss,call_B_precision,call_B_recall,call_B_fscore,call_C_precision,call_C_recall,call_C_fscore,call_F_precision,call_F_recall,call_F_fscore,call_H_precision,call_H_recall,call_H_fscore,call_S_precision,call_S_recall,call_S_fscore,is_out_precision,is_out_recall,is_out_fscore
0,model_final_base,0.34427537518156304,0.6916691285023839,0.23247506501036597,0.6811035499983239,0.8478020487784523,0.7553651259840324,0.42260541220893644,0.7489961631123405,0.5403369864336407,0.31962458490114354,0.5624858219999351,0.407623118292196,0.12256751795039164,0.7037037037037037,0.20877216602750912,0.2904975622356398,0.14752566162725872,0.19567841491131727,0.4042778975294313,0.5275547958543393,0.45776188196419687
1,model_final2,0.3440918402264763,0.6884496487002122,0.2301557932016032,0.683122600848542,0.8465241701612735,0.7560958565878111,0.41901620783440197,0.759525296689569,0.5400801046912796,0.32523356909794704,0.5200652458060125,0.4001961745953899,0.12143198851857757,0.7134533743229395,0.20754001882236708,0.30274240940254654,0.10136752697340373,0.15188069675453897,0.40613122416560626,0.5282904558928533,0.4592257524533199
2,model_final3,0.34437056434685287,0.6924907219692314,0.2336772793388823,0.6581046649151076,0.8648891114310154,0.7474588113322365,0.4165404239331984,0.7667083073079325,0.5398104302620522,0.3318009833184456,0.49353483197044495,0.39682112302948713,0.12263718400266761,0.6891523935002196,0.2082207291883213,0.2647522992363089,0.23931722034565311,0.2513930395390697,0.4133444944368874,0.51284159508406,0.45774872295020225
3,model_final4,0.34444553314222315,0.6906653004465921,0.22857945227866577,0.6738455200823893,0.8531847864638752,0.7529840680915314,0.4145622008849291,0.7681025252074596,0.5384895081928756,0.32624238440217135,0.5200220366629579,0.4009461462862092,0.1257726624724098,0.6690089298784951,0.21173875977612217,0.2865683889686703,0.1603318794477421,0.2056210373579232,0.4055316360137047,0.5288530194517169,0.45905426407546357
4,model_final5,0.34447070768263316,0.691637123619858,0.23126314530576006,0.6660808009794058,0.8598454027664768,0.75066082905872,0.42781801469389885,0.7319755509949138,0.5400139064319305,0.31804736412303786,0.5679625808821147,0.40775840675021713,0.1259696003787566,0.6699458351632265,0.21206476306985106,0.2825622005035601,0.17113763814645985,0.2131674887411538,0.39978448275862066,0.5418460739554709,0.46009902900135036
5,model_final6,0.3445137728983746,0.6894576653646701,0.23056748899379043,0.6692215178262022,0.856178673509837,0.751243109409646,0.432555419629774,0.7177768359061301,0.5398062324371933,0.3277066878211982,0.5131733874887926,0.39998652847123406,0.12249916403014637,0.697174645000732,0.20838365275225346,0.2838109816594382,0.1641688256321123,0.20801346311666996,0.39770690376734236,0.5448860808793301,0.45980600251055576
6,model_final7,0.34386294960076347,0.6930421058526844,0.23558328997221759,0.6690889265021809,0.8577225595126328,0.7517531428571429,0.42754417958685675,0.7347974480235567,0.5405611648334516,0.3218237960376164,0.5437870653430266,0.4043470927010289,0.12185749317171395,0.7158249158249158,0.20826181582769357,0.2793287488453248,0.1784999836027941,0.2178114808219452,0.3959323702712266,0.5568513750351602,0.4628027837220594
7,model_final8,0.3437350291434273,0.6875569193473047,0.22293937646402467,0.6747528309834725,0.8521937785566752,0.7531634191201891,0.4275617916331665,0.7355001338449183,0.5407652818553083,0.33120127057464627,0.4955872662655418,0.39705226899992646,0.1278039260704856,0.6519104084321475,0.21371085782843433,0.29761584827427345,0.1271111402616994,0.17813932646237632,0.3982286951387522,0.5472553389445443,0.46099727056078815
8,model_final9,0.3437083690173753,0.6924178059621888,0.2358951143136765,0.6581265742448583,0.8653950470467965,0.7476618247117697,0.4201121884171032,0.7568260908360845,0.5403033801807541,0.3313309447698326,0.5004807017164832,0.39870743440358686,0.12099405292601918,0.7231444883618796,0.20730289690250076,0.2792233009708738,0.18863345685895125,0.2251580451333842,0.3987235313536541,0.5488023887314192,0.46187744696348904
9,model_finalX,0.3442583609117816,0.6895485689336175,0.2290252734254906,0.6735479197790756,0.8536124846132983,0.7529646678306798,0.43119899602260275,0.7243129294191131,0.5405794628252246,0.3163351445182922,0.5748112300562799,0.4080878264637425,0.12479875496404422,0.6808666373883765,0.2109344883103925,0.291406609289797,0.1454596136818286,0.19405433783961148,0.4146157998601782,0.506869766536123,0.4561248083335361
10,model_finalXI,0.34394976212141143,0.691893261914653,0.23531279174830141,0.6572292566307931,0.8660731050885648,0.7473349971082721,0.4249650985565531,0.7401623985009369,0.5399292136202758,0.33681027033699545,0.4715845872986724,0.39296274793081565,0.12200561580462224,0.711140389401259,0.20827831038090175,0.2717699195906433,0.1950775587839832,0.22712433897787365,0.3829075211968672,0.5892204167297748,0.4641712688347992
11,model_finalXII,0.3439270601633875,0.6908188310151769,0.2316388372834214,0.677032649319512,0.8513123031023764,0.7542357804164038,0.41996919025020496,0.7541045774962077,0.5394902730566062,0.3250465178096757,0.528372203558273,0.40248834616318246,0.12267592769380815,0.6960327916849656,0.20858814961700783,0.28747473430266673,0.14459056176827467,0.1924067204887628,0.3978186218656441,0.5476988986736482,0.4608795000295867
12,model_finalXIII,0.3439270601633875,0.6891483315449064,0.22997045182595693,0.6730584022718854,0.8529605057269826,0.7524051401675661,0.4235247269417476,0.7473565628624966,0.5406593938611497,0.33485188407124217,0.4740151015954976,0.3924621789740586,0.1222117754681981,0.704055043185478,0.208271262774987,0.2880109078225576,0.14893582133604433,0.1963403694216573,0.39375154016757025,0.5531622563126123,0.460038688200099
13,model_finalXIV,0.34396774303262434,0.6892870275605999,0.2289316635077233,0.6764190602414628,0.8518391020425194,0.7540613478803885,0.42348666594927176,0.7462077273132863,0.5403274981323318,0.3238627430428175,0.5340326012984348,0.4032036407974847,0.1235262607994654,0.6819206558336993,0.20916365073235565,0.2941265003574519,0.12817695864624667,0.1785457327866793,0.4027357345204371,0.538308414652617,0.4607563523223943
14,model_finalXV,0.34404238946014526,0.6903066805783361,0.22788410904334422,0.6798325856494825,0.8489078049696439,0.7550205274511169,0.42522948414909906,0.7404189345944499,0.5402108501141325,0.31585249324635184,0.5784516003586359,0.40859788410253667,0.1271626696154998,0.6464353681744986,0.2125197922832955,0.29114932126696835,0.13188272718328797,0.18153502386836848,0.3989704192314353,0.548348010472337,0.4618819369771638
15,model_finalXVI,0.3438188120553442,0.6948915830020832,0.23392335758425048,0.6848470506704079,0.8453140973482715,0.7566665343825797,0.41863701295502687,0.75834299991077,0.5394661673225848,0.3211207575958186,0.5501820185151178,0.405541842503384,0.12417613200915438,0.6878641487337139,0.21037456235393145,0.27974042894367607,0.1830748040533893,0.22131261273761618,0.3892669177071635,0.5737174632710907,0.4638273122050843
16,model_finalXVII,0.3449545826598317,0.6903694659546411,0.23329783044144434,0.6823463701227527,0.8474734514197492,0.7559980923356093,0.41640265588774383,0.7652471669492281,0.5393322904465808,0.3123461174242424,0.5700798288917935,0.4035743099341192,0.12307307280656446,0.676709120187381,0.20826837993458103,0.29281568941364816,0.11996195848227462,0.17019692687068896,0.3941550424453425,0.5560616223467555,0.46131477268137694
17,model_finalXVIII,0.34409800844784183,0.6904628732435459,0.22923440862638872,0.6794666889227367,0.8492624814837997,0.7549349845488329,0.4274362110358305,0.7367381993396984,0.5409989802980477,0.3226329002820319,0.5400170676115066,0.4039350355526826,0.12313553826199741,0.6671058410188845,0.20789707794429618,0.2804394180679641,0.17036696946840257,0.2119651144999235,0.403699433309619,0.5340891879611398,0.4598296409793082
18,model_finalXIX,0.34426747767473637,0.6941294505141046,0.23508268041198382,0.6622527160207194,0.8629070956166156,0.7493805742654086,0.42615778180154523,0.7376528062817882,0.5402193224284751,0.3302211792900295,0.5001242262862822,0.3977901501873045,0.12446027633851468,0.6751573708095447,0.21017613416273612,0.26155811902748033,0.23831699078477028,0.2493972699115424,0.3809967461134132,0.5928338057424757,0.4638748508012291
19,model_finalXX,0.3439361089378326,0.6922145927089786,0.23357928634804231,0.673480892597759,0.8536750745863846,0.7529471299267387,0.42620489690721647,0.7377866512001428,0.5402930702126963,0.33202864939606547,0.49025093709829,0.3959172991363517,0.12225754129066924,0.7128092519396867,0.20871697272088197,0.27602496208448324,0.18204178008067426,0.21939193929273665,0.38585813316370415,0.5774931302334638,0.4626151012891344
20,model_finalXXI,0.34412713409024304,0.6896084883184733,0.22992818647847002,0.6662423265156016,0.8598662660908389,0.7507713466631145,0.41490560466643767,0.7679798340323012,0.5387489388005805,0.33022157802588903,0.49713199312974626,0.39684052134846964,0.12417498977863442,0.6847020933977456,0.2102244635617522,0.28259339717896154,0.15144459384120945,0.19720505183144904,0.4030552865246726,0.5357660601077525,0.4600307473653409
21,model_finalXXII,0.3441263481954112,0.6867884697296055,0.23057061976027096,0.6697815123309564,0.8568671632137865,0.7518609797231585,0.4228551944484786,0.7469438743642366,0.5400057251831454,0.32899713866983044,0.5092413554708176,0.3997405273400237,0.12140025765533644,0.7173473869126044,0.20765759084648797,0.3130597513701377,0.07680451251106811,0.12334755358929793,0.3970922201671622,0.5504792608780319,0.46137106536158096
22,model_finalXXIII,0.34406728004573417,0.6902013451113711,0.22785029676535468,0.6737791320102117,0.8534873046671256,0.7530603979898017,0.4185152795398278,0.7579637726420987,0.5392691346268301,0.3333135444803942,0.4851954673608936,0.39516295765168546,0.1253370672821848,0.6709120187381057,0.21121567687642295,0.2836946277097078,0.15793788738398976,0.20291137373865045,0.3948016687131537,0.5600320228487353,0.46312060227328644
23,model_finalXXIV,0.3438578184052408,0.6919595184108731,0.23275965168344445,0.6844002312890142,0.8457835221464188,0.7565816025400262,0.4256015473392298,0.7411996966181851,0.5407188917593929,0.3262669894899026,0.5123956229138086,0.3986770719079498,0.12022787096278363,0.7328356024008198,0.2065667256739415,0.2805985037406484,0.18450136096809103,0.2226223215875591,0.41356534771659853,0.5134690698227925,0.45813404634236987
24,model_finalXXV,0.34378517207331066,0.6909434866849397,0.2331769828552966,0.66725654399378,0.8594385679414158,0.751251515952839,0.4251108336730534,0.744389667172303,0.5411679802795887,0.32736811105860436,0.5163492595033109,0.4006940893430461,0.12110190710885464,0.7165275947884644,0.20718672880660002,0.2863356610249734,0.1586757616502148,0.20419488932497734,0.40208365153500486,0.5411212324469351,0.4613546955924199
